MATERIAL TYPE,TONS OF MSW COLLECTED,TONS OF MSW RECYCLED,% MSW RECYCLED
Newspaper [c],83720,500,0.01
Glass [c],141009,10124,0.07
Aluminum Cans [c],16954,711,0.04
Plastic Bottles [c],116954,1500,0.01
Steel Cans [c],146996,5908,0.04
Corrugated Paper [c],324093,125637,0.39
Office Paper [c],99407,7313,0.07
Yard Trash [c],286642,138781,0.48
Other Plastics,379790,3989,0.01
Ferrous Metals [d],224827,147285,0.66
White Goods [d],30225,29171,0.97
Non Ferrous Metal,172163,149028,0.87
Other Paper,597342,22825,0.04
Textiles,117604,9981,0.08
C&D Debris,826587,110894,0.13
Food,461848,8815,0.02
Miscellaneous,307049,65669,0.21
Tires,14149,839805,0.12
Total,4346933,839805,19.32
,,,
